,attributai,b_cert_af,b_cert_leg,b_cert_tra,created_date,created_user,d_cert_af,d_cert_leg,d_cert_tra,date_amgt,date_attr,date_con_d,date_con_p,desc_type,exploitant,globalid,last_edited_date,last_edited_user,nom_conces,objectid,s_cert_af,statu_amgt,statu_attr,statu_conv,sup_adm_ha,t_cert_af,t_cert_leg,t_cert_tra,type_
54,STBK,,,,1509528188000,KENDY,,,,1343606400000.0,1002844800000.0,1364774400000.0,1002844800000.0,Concession Forestière,STBK,{59E486CD-C1F2-42DE-8E1C-3FF994185BD8},1520442718000,KENDIE,1051,648,,revise,attribue,provisoire,52245.0,,,,4110110
55,SFIL,,,RA,1509528188000,KENDY,,1370217600000.0,,1277683200000.0,1128470400000.0,1284336000000.0,1128470400000.0,Concession Forestière,SFIL,{F1940B90-C0EF-4E7C-91DB-5D810C4C10BB},1520442078000,KENDIE,1070,756,,amenge,attribue,definitive,47823.0,,VLC,,4110110
56,SOCIB,,,SGS,1509528188000,KENDY,,,1401926400000.0,1199145600000.0,972000000000.0,,972000000000.0,Concession Forestière,SOCIB,{60239E40-BE05-432B-8EF1-043491C854A9},1520442078000,KENDIE,1034,755,,amenge,attribue,provisoire,44698.0,,,SGS-CW/FM,4110110
57,GRUMCAM,,,,1509528188000,KENDY,,1399420800000.0,,1101427200000.0,890956800000.0,1284940800000.0,890956800000.0,Concession Forestière,GRUMCAM,{06418C5D-331C-4CA0-BA80-C085ADF05E0E},1520442078000,KENDIE,1015,656,,amenge,attribue,definitive,86096.0,,OLB,,4110110
58,SFDB,,,,1509528188000,KENDY,,,,1103846400000.0,890956800000.0,,890956800000.0,Concession Forestière,SFDB,{5790ED84-D9A4-4052-804A-00A53D44FE5B},1520442078000,KENDIE,1014,654,,amenge,attribue,provisoire,46922.0,,,,4110110
59,SIM,,,,1509528188000,KENDY,,,,1086048000000.0,1303862400000.0,,982195200000.0,Concession Forestière,SIM,{89BE2194-C936-48C3-84C1-06BA1981C680},1520442078000,KENDIE,1038,644,,amenge,attribue,provisoire,82571.0,,,,4110110
60,CUF,,,BV,1509528188000,KENDY,,1279756800000.0,,1103846400000.0,972432000000.0,,972432000000.0,Concession Forestière,CUF,{26DED5F4-6A91-44F3-9E06-1C01707DF88F},1520442078000,KENDIE,1036,643,,amenge,attribue,provisoire,38247.0,,OLB,,4110110
61,CAMBOIS,RA-FM/COC,,,1509528188000,KENDY,1363910400000.0,,,1108512000000.0,972259200000.0,,972259200000.0,Concession Forestière,CAMBOIS,{E0E3F813-C86E-4587-8234-0C1A58EF6D18},1520442078000,KENDIE,1043,640,,amenge,attribue,provisoire,145585.0,FSC,,,4110110
62,SODETRANCAM,BV-FM/COC,,,1509528188000,KENDY,1223510400000.0,1304208000000.0,,1290643200000.0,1002240000000.0,,1002240000000.0,Concession Forestière,SODETRANCAM,{0D5927C7-A22D-4722-81D8-50E7A0D0141F},1520442079000,KENDIE,1055,752,,amenge,attribue,provisoire,44249.0,FSC,OLB,,4110110
63,SFID,RA-FM/COC,,,1509528188000,KENDY,1363910400000.0,,1241654400000.0,1285977600000.0,1033603200000.0,1320796800000.0,1035936000000.0,Concession Forestière,SFID,{43B172A2-5D6B-44BF-977B-B1E450A538D1},1520442078000,KENDIE,1066,728,,amenge,attribue,definitive,72391.0,FSC,,SW-CW,4110110
